USER,DATE,FIRST LOGIN,LAST LOGOUT,IS LATE
Colleen,Aug. 26,2024,8:01 AM,10:13 PM,Yes
Lionello,Aug. 25,2024,7:23 AM,7:08 PM,No
Graig,Aug. 25,2024,5:27 AM,10:09 PM,No
Wilburt,Aug. 26,2024,9:04 AM,9:47 PM,Yes
Zandra,Aug. 26,2024,9:00 AM,5:46 PM,Yes
Fredrika,Aug. 26,2024,9:03 AM,7:49 PM,Yes
Hussein,Aug. 25,2024,6:11 AM,4:29 PM,No
Dyanna,Aug. 25,2024,8:14 AM,8:23 PM,Yes
Jarret,Aug. 26,2024,10:54 AM,10:36 PM,Yes
Jenilee,Aug. 25,2024,7:22 AM,3:32 PM,No
Harrison,Aug. 25,2024,5:18 AM,9:22 PM,No
Dewain,Aug. 26,2024,10:05 AM,7:16 PM,Yes
Latashia,Aug. 25,2024,7:13 AM,6:25 PM,No
Ignazio,Aug. 26,2024,5:33 AM,10:24 PM,No
Trent,Aug. 25,2024,7:54 AM,9:21 PM,No
Brandon,Aug. 25,2024,9:41 AM,4:24 PM,Yes
Antonietta,Aug. 25,2024,10:57 AM,7:03 PM,Yes
Bertrand,Aug. 26,2024,5:33 AM,5:14 PM,No
Priscella,Aug. 26,2024,8:46 AM,5:03 PM,Yes
Jeddy,Aug. 25,2024,5:23 AM,7:48 PM,No
Shirlee,Aug. 26,2024,9:08 AM,9:03 PM,Yes
Giusto,Aug. 26,2024,10:45 AM,6:55 PM,Yes
Annissa,Aug. 26,2024,9:56 AM,4:34 PM,Yes
Fidel,Aug. 26,2024,10:44 AM,5:41 PM,Yes
Hilarius,Aug. 26,2024,5:32 AM,10:21 PM,No
Cindra,Aug. 26,2024,10:31 AM,8:44 PM,Yes
Lorettalorna,Aug. 26,2024,7:42 AM,9:31 PM,No
Lauren,Aug. 26,2024,7:50 AM,3:44 PM,No
Cicily,Aug. 25,2024,9:37 AM,3:57 PM,Yes
Georgianne,Aug. 25,2024,10:31 AM,5:12 PM,Yes
Michele,Aug. 25,2024,7:43 AM,9:47 PM,No
Lura,Aug. 26,2024,5:27 AM,10:43 PM,No
Gweneth,Aug. 26,2024,5:25 AM,7:27 PM,No
Perry,Aug. 26,2024,10:08 AM,3:40 PM,Yes
Saidee,Aug. 26,2024,6:02 AM,4:18 PM,No
Tonya,Aug. 26,2024,10:16 AM,7:34 PM,Yes
Any,Aug. 25,2024,8:26 AM,8:06 PM,Yes
Gerda,Aug. 26,2024,6:20 AM,8:30 PM,No
Randall,Aug. 26,2024,5:37 AM,8:48 PM,No
Ashla,Aug. 25,2024,10:10 AM,6:06 PM,Yes
Carena,Aug. 26,2024,9:57 AM,3:52 PM,Yes
Seth,Aug. 26,2024,9:10 AM,10:14 PM,Yes
Vincent,Aug. 26,2024,7:38 AM,6:23 PM,No
Lawry,Aug. 26,2024,8:59 AM,5:47 PM,Yes
Angela,Aug. 25,2024,6:35 AM,7:47 PM,No
Gallard,Aug. 25,2024,5:48 AM,7:21 PM,No
Dione,Aug. 26,2024,9:43 AM,6:57 PM,Yes
Feodor,Aug. 25,2024,9:06 AM,9:37 PM,Yes
Harwilll,Aug. 25,2024,10:13 AM,8:48 PM,Yes
Guillermo,Aug. 26,2024,7:04 AM,10:08 PM,No
Elbertine,Aug. 25,2024,9:29 AM,8:31 PM,Yes
Graig,Aug. 26,2024,7:12 AM,9:47 PM,No
Ansel,Aug. 25,2024,6:11 AM,4:33 PM,No
Dory,Aug. 25,2024,6:54 AM,6:58 PM,No
Bettina,Aug. 26,2024,5:18 AM,6:36 PM,No
Brigg,Aug. 25,2024,5:05 AM,5:05 PM,No
Selina,Aug. 26,2024,8:09 AM,8:38 PM,Yes
Jeremy,Aug. 26,2024,8:15 AM,7:08 PM,Yes
Thekla,Aug. 25,2024,8:53 AM,10:33 PM,Yes
Cole,Aug. 26,2024,11:07 AM,10:11 PM,Yes
Martainn,Aug. 25,2024,5:39 AM,9:46 PM,No
Tracey,Aug. 26,2024,10:48 AM,6:24 PM,Yes
Gerti,Aug. 25,2024,10:34 AM,7:47 PM,Yes
Marie-jeanne,Aug. 26,2024,9:20 AM,7:36 PM,Yes
Malinda,Aug. 26,2024,6:08 AM,7:52 PM,No
Ann-marie,Aug. 26,2024,5:01 AM,9:47 PM,No
Boone,Aug. 25,2024,5:41 AM,8:03 PM,No
Anett,Aug. 25,2024,10:24 AM,5:54 PM,Yes
Barrie,Aug. 26,2024,8:40 AM,4:47 PM,Yes
Dennis,Aug. 26,2024,10:38 AM,3:59 PM,Yes
Guthrey,Aug. 26,2024,8:11 AM,7:01 PM,Yes
Cyrus,Aug. 25,2024,7:24 AM,7:45 PM,No
Gothart,Aug. 25,2024,6:53 AM,8:08 PM,No
Wain,Aug. 25,2024,10:29 AM,5:53 PM,Yes
Lissy,Aug. 25,2024,9:49 AM,9:46 PM,Yes
Nicoli,Aug. 26,2024,5:41 AM,4:15 PM,No
Frederich,Aug. 25,2024,11:03 AM,6:14 PM,Yes
North,Aug. 25,2024,10:15 AM,6:05 PM,Yes
Willard,Aug. 26,2024,8:07 AM,7:11 PM,Yes
Allianora,Aug. 26,2024,6:59 AM,5:24 PM,No
Terrance,Aug. 25,2024,10:08 AM,6:59 PM,Yes
Whitaker,Aug. 25,2024,6:25 AM,10:44 PM,No
Alwyn,Aug. 26,2024,6:55 AM,7:33 PM,No
Maribelle,Aug. 25,2024,10:25 AM,9:39 PM,Yes
Akim,Aug. 25,2024,7:27 AM,5:08 PM,No
Egor,Aug. 25,2024,9:42 AM,5:00 PM,Yes
Robinette,Aug. 25,2024,7:41 AM,4:06 PM,No
Antons,Aug. 26,2024,5:49 AM,7:40 PM,No
Lisle,Aug. 25,2024,6:03 AM,7:41 PM,No
Demetre,Aug. 26,2024,5:33 AM,7:28 PM,No
Martguerita,Aug. 26,2024,7:01 AM,3:37 PM,No
Thomasin,Aug. 25,2024,5:11 AM,4:32 PM,No
Natka,Aug. 26,2024,5:37 AM,6:08 PM,No
Fletch,Aug. 25,2024,8:47 AM,7:23 PM,Yes
Merilyn,Aug. 26,2024,6:32 AM,4:32 PM,No
Binny,Aug. 26,2024,9:19 AM,10:32 PM,Yes
Delcina,Aug. 26,2024,9:04 AM,6:26 PM,Yes
Jemmie,Aug. 26,2024,6:50 AM,9:56 PM,No
Wilma,Aug. 26,2024,8:23 AM,6:04 PM,Yes
John,Aug. 26,2024,6:54 AM,4:16 PM,No
Fitz,Aug. 25,2024,9:41 AM,6:17 PM,Yes
Risa,Aug. 26,2024,9:47 AM,5:51 PM,Yes
Addie,Aug. 26,2024,7:31 AM,10:11 PM,No
Tannie,Aug. 26,2024,9:07 AM,8:55 PM,Yes
Bogart,Aug. 25,2024,10:05 AM,3:46 PM,Yes
Bobbye,Aug. 26,2024,7:54 AM,8:40 PM,No
Roma,Aug. 25,2024,9:37 AM,7:34 PM,Yes
De witt,Aug. 26,2024,7:54 AM,7:27 PM,No
Candra,Aug. 25,2024,9:39 AM,10:13 PM,Yes
Gusella,Aug. 26,2024,5:04 AM,7:15 PM,No
Darlleen,Aug. 26,2024,5:25 AM,4:51 PM,No
Griffith,Aug. 26,2024,9:49 AM,3:34 PM,Yes
Shoshanna,Aug. 26,2024,10:54 AM,7:14 PM,Yes
Ferguson,Aug. 26,2024,8:01 AM,8:55 PM,Yes
Michael,Aug. 26,2024,5:13 AM,9:33 PM,No
Star,Aug. 26,2024,5:29 AM,3:29 PM,No
Elisa,Aug. 26,2024,8:33 AM,10:39 PM,Yes
Elene,Aug. 25,2024,6:51 AM,6:17 PM,No
Corrinne,Aug. 26,2024,8:23 AM,5:06 PM,Yes
Terrill,Aug. 26,2024,9:49 AM,5:23 PM,Yes
Hubie,Aug. 25,2024,7:44 AM,9:49 PM,No
Lutero,Aug. 25,2024,5:55 AM,5:26 PM,No
Roxy,Aug. 26,2024,5:07 AM,10:04 PM,No
Jolynn,Aug. 25,2024,5:31 AM,5:47 PM,No
Boyd,Aug. 25,2024,6:37 AM,5:16 PM,No
Padgett,Aug. 25,2024,9:17 AM,4:25 PM,Yes
Tybie,Aug. 26,2024,5:38 AM,8:34 PM,No
Merry,Aug. 26,2024,9:06 AM,3:36 PM,Yes
Paulo,Aug. 25,2024,7:23 AM,5:56 PM,No
Pip,Aug. 26,2024,7:54 AM,5:35 PM,No
Brigham,Aug. 25,2024,7:33 AM,4:29 PM,No
Saunder,Aug. 26,2024,6:06 AM,4:54 PM,No
Leo,Aug. 26,2024,7:46 AM,9:31 PM,No
Chen,Aug. 26,2024,9:24 AM,5:19 PM,Yes
Orville,Aug. 26,2024,6:53 AM,6:08 PM,No
Kayley,Aug. 25,2024,8:36 AM,9:42 PM,Yes
Cicely,Aug. 26,2024,6:50 AM,6:10 PM,No
Beverlee,Aug. 25,2024,5:24 AM,10:02 PM,No
Mattie,Aug. 25,2024,7:47 AM,4:39 PM,No
Sara,Aug. 26,2024,7:25 AM,4:21 PM,No
Vinnie,Aug. 26,2024,6:29 AM,5:19 PM,No
Valaria,Aug. 25,2024,9:51 AM,8:40 PM,Yes
Sybilla,Aug. 26,2024,6:32 AM,4:42 PM,No
Beatrice,Aug. 26,2024,8:40 AM,3:38 PM,Yes
Nadine,Aug. 25,2024,5:10 AM,6:12 PM,No
Neile,Aug. 25,2024,5:37 AM,3:54 PM,No
Hedvige,Aug. 26,2024,6:47 AM,8:05 PM,No
Jo-anne,Aug. 26,2024,11:01 AM,5:12 PM,Yes
Winnie,Aug. 26,2024,6:46 AM,10:10 PM,No
Maria,Aug. 26,2024,8:12 AM,6:09 PM,Yes
Kristo,Aug. 26,2024,9:13 AM,4:26 PM,Yes
Gregor,Aug. 25,2024,10:37 AM,8:13 PM,Yes
Grantham,Aug. 26,2024,9:13 AM,4:36 PM,Yes
Hill,Aug. 26,2024,6:13 AM,4:27 PM,No
Charlot,Aug. 26,2024,10:29 AM,8:23 PM,Yes
Livvyy,Aug. 25,2024,6:48 AM,8:34 PM,No
Vernon,Aug. 26,2024,6:57 AM,6:38 PM,No
Eldridge,Aug. 25,2024,9:44 AM,5:48 PM,Yes
Leslie,Aug. 25,2024,9:05 AM,10:12 PM,Yes
Thedric,Aug. 25,2024,5:26 AM,7:51 PM,No
Elisha,Aug. 25,2024,8:06 AM,8:49 PM,Yes
Bard,Aug. 25,2024,6:56 AM,5:31 PM,No
Brit,Aug. 26,2024,5:19 AM,7:23 PM,No
Rawley,Aug. 26,2024,5:14 AM,8:18 PM,No
Philipa,Aug. 26,2024,8:44 AM,5:10 PM,Yes
Georgy,Aug. 26,2024,8:37 AM,5:10 PM,Yes
Evered,Aug. 25,2024,5:45 AM,9:10 PM,No
Holden,Aug. 25,2024,9:05 AM,10:03 PM,Yes
Anny,Aug. 25,2024,8:38 AM,7:57 PM,Yes
Berkie,Aug. 25,2024,10:50 AM,10:07 PM,Yes
Dietrich,Aug. 25,2024,7:00 AM,10:08 PM,No
Geoffrey,Aug. 26,2024,9:25 AM,7:39 PM,Yes
Mallory,Aug. 25,2024,10:22 AM,7:18 PM,Yes
Cristy,Aug. 26,2024,8:44 AM,5:13 PM,Yes
Mercedes,Aug. 25,2024,9:28 AM,6:50 PM,Yes
Tarah,Aug. 25,2024,9:20 AM,9:13 PM,Yes
Emma,Aug. 26,2024,9:49 AM,5:44 PM,Yes
Cece,Aug. 25,2024,10:04 AM,6:39 PM,Yes
Gene,Aug. 25,2024,6:40 AM,3:56 PM,No
Nathanil,Aug. 25,2024,10:58 AM,8:01 PM,Yes
Ashlan,Aug. 26,2024,10:52 AM,8:59 PM,Yes
Avis,Aug. 26,2024,9:13 AM,4:30 PM,Yes
Marcella,Aug. 26,2024,10:37 AM,7:39 PM,Yes
Jobi,Aug. 25,2024,5:19 AM,9:40 PM,No
Francisco,Aug. 26,2024,10:04 AM,6:39 PM,Yes
Dominik,Aug. 25,2024,8:14 AM,5:49 PM,Yes
Robyn,Aug. 25,2024,5:25 AM,9:13 PM,No
Wylie,Aug. 25,2024,8:58 AM,3:30 PM,Yes
Vinnie,Aug. 26,2024,9:05 AM,7:59 PM,Yes
Nancee,Aug. 26,2024,5:12 AM,5:04 PM,No
Skelly,Aug. 25,2024,5:31 AM,5:41 PM,No
Myrtice,Aug. 26,2024,10:53 AM,3:59 PM,Yes
Jodie,Aug. 25,2024,6:21 AM,6:04 PM,No
Leontyne,Aug. 26,2024,6:54 AM,4:49 PM,No
Karlen,Aug. 25,2024,8:46 AM,10:06 PM,Yes
Benoit,Aug. 25,2024,11:06 AM,8:09 PM,Yes
Deanne,Aug. 25,2024,8:51 AM,10:25 PM,Yes
Richmound,Aug. 25,2024,8:54 AM,7:08 PM,Yes
Solomon,Aug. 26,2024,7:10 AM,6:43 PM,No
Hilary,Aug. 25,2024,5:29 AM,7:42 PM,No
Brander,Aug. 26,2024,8:28 AM,4:24 PM,Yes
Joellyn,Aug. 26,2024,9:51 AM,3:48 PM,Yes
Shay,Aug. 25,2024,10:21 AM,6:50 PM,Yes
Babita,Aug. 26,2024,6:09 AM,3:50 PM,No
Ravid,Aug. 25,2024,9:33 AM,5:14 PM,Yes
Dodi,Aug. 25,2024,7:57 AM,10:07 PM,No
Holden,Aug. 26,2024,9:06 AM,5:40 PM,Yes
Romola,Aug. 26,2024,7:15 AM,4:37 PM,No
Virgilio,Aug. 25,2024,5:48 AM,8:12 PM,No
Ahmed,Aug. 26,2024,11:01 AM,3:41 PM,Yes
Way,Aug. 26,2024,10:16 AM,4:10 PM,Yes
Selig,Aug. 25,2024,8:47 AM,4:37 PM,Yes
Madelle,Aug. 25,2024,9:41 AM,5:13 PM,Yes
Nancey,Aug. 25,2024,9:20 AM,3:45 PM,Yes
Nonie,Aug. 25,2024,10:09 AM,4:05 PM,Yes
Drew,Aug. 25,2024,6:49 AM,5:51 PM,No
Marchall,Aug. 26,2024,6:27 AM,9:10 PM,No
Fabio,Aug. 26,2024,5:13 AM,5:20 PM,No
Jarad,Aug. 25,2024,7:29 AM,4:06 PM,No
Mariam,Aug. 26,2024,9:25 AM,5:18 PM,Yes
Ulrich,Aug. 25,2024,8:54 AM,7:30 PM,Yes
Raddy,Aug. 26,2024,8:22 AM,7:32 PM,Yes
Tallie,Aug. 25,2024,10:30 AM,3:38 PM,Yes
Elisha,Aug. 25,2024,8:09 AM,5:56 PM,Yes
Son,Aug. 25,2024,7:06 AM,4:25 PM,No
Didi,Aug. 25,2024,6:53 AM,5:33 PM,No
Lamont,Aug. 26,2024,9:36 AM,10:14 PM,Yes
Findley,Aug. 25,2024,9:08 AM,6:43 PM,Yes
Tom,Aug. 25,2024,6:14 AM,5:19 PM,No
Britta,Aug. 26,2024,9:04 AM,5:35 PM,Yes
Delmer,Aug. 26,2024,6:15 AM,6:05 PM,No
Adair,Aug. 26,2024,8:22 AM,9:19 PM,Yes
Dorry,Aug. 25,2024,8:16 AM,6:51 PM,Yes
Rosalinda,Aug. 25,2024,9:39 AM,8:56 PM,Yes
Clayborne,Aug. 26,2024,10:32 AM,9:10 PM,Yes
Irina,Aug. 25,2024,10:22 AM,9:42 PM,Yes
Meta,Aug. 26,2024,10:54 AM,6:52 PM,Yes
Betsey,Aug. 25,2024,8:41 AM,5:20 PM,Yes
Hy,Aug. 26,2024,9:46 AM,3:49 PM,Yes
Mirabella,Aug. 25,2024,10:18 AM,7:19 PM,Yes
Brook,Aug. 26,2024,6:51 AM,4:34 PM,No
Sianna,Aug. 26,2024,6:41 AM,10:17 PM,No
Mariann,Aug. 26,2024,8:58 AM,9:30 PM,Yes
Odelle,Aug. 25,2024,5:49 AM,3:55 PM,No
Sargent,Aug. 25,2024,5:45 AM,4:54 PM,No
Harlene,Aug. 26,2024,7:05 AM,4:55 PM,No
Estelle,Aug. 25,2024,8:42 AM,5:07 PM,Yes
Vidovic,Aug. 25,2024,10:36 AM,9:30 PM,Yes
Arlena,Aug. 26,2024,10:04 AM,8:09 PM,Yes
Lavinia,Aug. 25,2024,10:29 AM,4:14 PM,Yes
Kelvin,Aug. 25,2024,8:28 AM,6:31 PM,Yes
Kinsley,Aug. 26,2024,6:24 AM,8:26 PM,No
Michal,Aug. 26,2024,10:58 AM,4:28 PM,Yes
Waly,Aug. 26,2024,10:34 AM,8:24 PM,Yes
Fran,Aug. 25,2024,8:16 AM,6:07 PM,Yes
Eunice,Aug. 25,2024,7:53 AM,4:03 PM,No
Anabal,Aug. 25,2024,9:18 AM,8:07 PM,Yes
Josias,Aug. 25,2024,5:58 AM,5:10 PM,No
Guthrie,Aug. 26,2024,9:00 AM,4:04 PM,Yes
Luke,Aug. 26,2024,9:56 AM,5:44 PM,Yes
Willow,Aug. 26,2024,5:02 AM,9:30 PM,No
Marielle,Aug. 26,2024,5:48 AM,6:45 PM,No
Gale,Aug. 26,2024,10:55 AM,4:50 PM,Yes
Bessy,Aug. 26,2024,6:49 AM,7:06 PM,No
Gael,Aug. 26,2024,7:18 AM,3:51 PM,No
Evelyn,Aug. 25,2024,5:22 AM,7:20 PM,No
Galvan,Aug. 26,2024,6:56 AM,5:54 PM,No
Skipton,Aug. 26,2024,7:10 AM,4:56 PM,No
Buiron,Aug. 25,2024,10:15 AM,3:58 PM,Yes
Talya,Aug. 25,2024,8:01 AM,8:50 PM,Yes
Jo ann,Aug. 26,2024,5:31 AM,8:34 PM,No
Ciro,Aug. 25,2024,8:05 AM,5:15 PM,Yes
Tiebold,Aug. 25,2024,8:14 AM,6:18 PM,Yes
Margaux,Aug. 26,2024,7:24 AM,7:33 PM,No
Elvira,Aug. 25,2024,6:20 AM,9:12 PM,No
Evita,Aug. 25,2024,6:49 AM,4:18 PM,No
Hurleigh,Aug. 25,2024,8:05 AM,3:48 PM,Yes
Paulie,Aug. 25,2024,10:06 AM,7:36 PM,Yes
Darby,Aug. 26,2024,8:26 AM,7:44 PM,Yes
Marty,Aug. 25,2024,7:20 AM,5:06 PM,No
Tatum,Aug. 25,2024,9:37 AM,8:26 PM,Yes
Joby,Aug. 25,2024,5:37 AM,8:10 PM,No
Tally,Aug. 25,2024,7:48 AM,5:47 PM,No
Cliff,Aug. 25,2024,9:31 AM,6:02 PM,Yes
Dolli,Aug. 25,2024,5:25 AM,10:24 PM,No
Gustave,Aug. 25,2024,6:42 AM,5:24 PM,No
Guglielma,Aug. 25,2024,8:04 AM,6:00 PM,Yes
Hatty,Aug. 25,2024,8:38 AM,4:31 PM,Yes
Raul,Aug. 25,2024,8:41 AM,4:06 PM,Yes
Randi,Aug. 25,2024,7:02 AM,5:58 PM,No
Ertha,Aug. 25,2024,11:03 AM,7:29 PM,Yes
Maryjane,Aug. 25,2024,6:53 AM,10:31 PM,No
Cobby,Aug. 26,2024,5:58 AM,8:35 PM,No
Elysee,Aug. 26,2024,10:02 AM,5:43 PM,Yes
Berkly,Aug. 25,2024,9:52 AM,9:24 PM,Yes
Rianon,Aug. 26,2024,8:05 AM,6:37 PM,Yes
Doug,Aug. 25,2024,7:07 AM,8:52 PM,No
Roma,Aug. 26,2024,7:23 AM,4:06 PM,No
Rawley,Aug. 26,2024,9:43 AM,4:35 PM,Yes
Ephraim,Aug. 25,2024,9:29 AM,7:06 PM,Yes
Toma,Aug. 25,2024,6:02 AM,9:10 PM,No
Ardine,Aug. 25,2024,7:38 AM,8:25 PM,No
Germayne,Aug. 26,2024,8:40 AM,7:55 PM,Yes
Linzy,Aug. 25,2024,6:36 AM,4:26 PM,No
Desdemona,Aug. 25,2024,8:15 AM,8:10 PM,Yes
Rene,Aug. 25,2024,9:34 AM,4:10 PM,Yes
Brandy,Aug. 25,2024,5:12 AM,9:39 PM,No
Delinda,Aug. 25,2024,6:07 AM,10:21 PM,No
Jacinta,Aug. 26,2024,6:20 AM,7:28 PM,No
Kattie,Aug. 26,2024,8:52 AM,5:03 PM,Yes
Eunice,Aug. 26,2024,7:04 AM,4:11 PM,No
Denni,Aug. 25,2024,8:43 AM,9:54 PM,Yes
Bonnibelle,Aug. 25,2024,8:52 AM,9:57 PM,Yes
Chrysler,Aug. 25,2024,7:04 AM,9:32 PM,No
Kirsteni,Aug. 26,2024,10:00 AM,7:27 PM,Yes
Terza,Aug. 26,2024,9:57 AM,4:20 PM,Yes
Geri,Aug. 26,2024,6:25 AM,9:34 PM,No
Ignacius,Aug. 25,2024,9:31 AM,8:23 PM,Yes
Carlyle,Aug. 25,2024,9:43 AM,10:09 PM,Yes
Nathalia,Aug. 26,2024,5:13 AM,8:08 PM,No
Durante,Aug. 25,2024,6:28 AM,8:37 PM,No
Helyn,Aug. 25,2024,7:03 AM,5:07 PM,No
Madel,Aug. 26,2024,8:06 AM,6:27 PM,Yes
Arman,Aug. 25,2024,8:14 AM,9:06 PM,Yes
Woodman,Aug. 25,2024,7:04 AM,3:42 PM,No
Nataniel,Aug. 25,2024,5:21 AM,7:48 PM,No
Merna,Aug. 25,2024,6:00 AM,8:29 PM,No
Nettle,Aug. 25,2024,7:08 AM,8:35 PM,No
Salvador,Aug. 25,2024,10:59 AM,4:55 PM,Yes
Orazio,Aug. 26,2024,8:22 AM,6:52 PM,Yes
Ronny,Aug. 26,2024,8:09 AM,8:43 PM,Yes
Pasquale,Aug. 25,2024,8:35 AM,5:06 PM,Yes
Nelle,Aug. 26,2024,9:25 AM,9:50 PM,Yes
Noni,Aug. 25,2024,7:49 AM,6:18 PM,No
Lauren,Aug. 26,2024,8:33 AM,9:51 PM,Yes
Charis,Aug. 26,2024,5:27 AM,4:16 PM,No
Beau,Aug. 26,2024,6:33 AM,6:14 PM,No
